Fold,Epoch,Train_MSE,Val_MSE,Val_RMSE,Val_PCC,Val_SCC
1,1,0.0309,0.0274,0.1656,0.1405,0.1527
1,2,0.0294,0.0280,0.1674,0.1324,0.1634
1,3,0.0283,0.0287,0.1695,0.1535,0.1743
1,4,0.0276,0.0281,0.1677,0.1749,0.1938
1,5,0.0237,0.0273,0.1653,0.1285,0.1569
1,6,0.0149,0.0311,0.1764,0.0806,0.0888
1,7,0.0077,0.0327,0.1808,0.0770,0.0882
1,8,0.0046,0.0305,0.1745,0.1005,0.1088
1,9,0.0035,0.0332,0.1821,0.0989,0.1191
1,10,0.0027,0.0313,0.1768,0.0840,0.1026
1,11,0.0015,0.0312,0.1766,0.0976,0.1157
1,12,0.0012,0.0320,0.1789,0.0897,0.1063
1,13,0.0012,0.0306,0.1750,0.0990,0.1154
1,14,0.0013,0.0309,0.1757,0.1042,0.1205
1,15,0.0008,0.0314,0.1771,0.0951,0.1121
1,16,0.0007,0.0308,0.1756,0.0966,0.1105
1,17,0.0007,0.0313,0.1769,0.0925,0.1069
1,18,0.0007,0.0312,0.1765,0.0901,0.1063
1,19,0.0006,0.0314,0.1771,0.0898,0.1072
1,20,0.0005,0.0308,0.1755,0.0906,0.1066
2,1,0.0315,0.0316,0.1776,0.2674,0.2650
2,2,0.0283,0.0297,0.1724,0.2830,0.2814
2,3,0.0276,0.0292,0.1709,0.2469,0.2396
2,4,0.0255,0.0301,0.1734,0.1873,0.2041
2,5,0.0192,0.0353,0.1879,0.1655,0.1819
2,6,0.0105,0.0377,0.1941,0.1434,0.1584
2,7,0.0063,0.0361,0.1900,0.1413,0.1429
2,8,0.0043,0.0337,0.1837,0.1697,0.1701
2,9,0.0025,0.0341,0.1848,0.1622,0.1605
2,10,0.0022,0.0328,0.1810,0.1701,0.1609
2,11,0.0023,0.0339,0.1842,0.1674,0.1566
2,12,0.0021,0.0336,0.1832,0.1742,0.1670
2,13,0.0015,0.0330,0.1817,0.1755,0.1662
2,14,0.0014,0.0331,0.1820,0.1789,0.1715
2,15,0.0015,0.0333,0.1825,0.1648,0.1600
2,16,0.0014,0.0331,0.1820,0.1762,0.1711
2,17,0.0011,0.0329,0.1814,0.1758,0.1704
2,18,0.0011,0.0332,0.1821,0.1767,0.1683
2,19,0.0011,0.0331,0.1820,0.1757,0.1665
2,20,0.0010,0.0329,0.1813,0.1782,0.1708
3,1,0.0314,0.0289,0.1700,0.2760,0.2855
3,2,0.0294,0.0277,0.1666,0.2269,0.2511
3,3,0.0286,0.0279,0.1670,0.2236,0.2416
3,4,0.0286,0.0276,0.1662,0.1973,0.2568
3,5,0.0276,0.0278,0.1667,0.2199,0.2577
3,6,0.0245,0.0311,0.1764,0.1402,0.1753
3,7,0.0151,0.0334,0.1828,0.1148,0.1275
3,8,0.0072,0.0320,0.1788,0.1161,0.1230
3,9,0.0041,0.0311,0.1764,0.1324,0.1372
3,10,0.0020,0.0315,0.1776,0.1263,0.1266
3,11,0.0017,0.0310,0.1762,0.1314,0.1302
3,12,0.0017,0.0308,0.1754,0.1389,0.1441
3,13,0.0016,0.0311,0.1763,0.1319,0.1389
3,14,0.0011,0.0313,0.1769,0.1322,0.1416
3,15,0.0010,0.0307,0.1754,0.1320,0.1379
3,16,0.0011,0.0309,0.1757,0.1246,0.1322
3,17,0.0010,0.0311,0.1763,0.1294,0.1379
3,18,0.0009,0.0305,0.1745,0.1344,0.1415
3,19,0.0007,0.0309,0.1759,0.1384,0.1446
3,20,0.0008,0.0309,0.1759,0.1333,0.1420
4,1,0.0318,0.0298,0.1725,0.1864,0.2023
4,2,0.0288,0.0272,0.1648,0.1921,0.2026
4,3,0.0283,0.0274,0.1656,0.2047,0.1966
4,4,0.0279,0.0267,0.1635,0.2214,0.2260
4,5,0.0256,0.0278,0.1668,0.1527,0.1556
4,6,0.0191,0.0353,0.1879,0.1089,0.1163
4,7,0.0093,0.0377,0.1942,0.0836,0.1104
4,8,0.0058,0.0328,0.1812,0.1157,0.1130
4,9,0.0037,0.0319,0.1785,0.1066,0.1129
4,10,0.0018,0.0333,0.1825,0.1075,0.1166
4,11,0.0015,0.0325,0.1801,0.1108,0.1240
4,12,0.0014,0.0338,0.1839,0.1063,0.1211
4,13,0.0014,0.0322,0.1794,0.1113,0.1240
4,14,0.0009,0.0326,0.1806,0.1100,0.1253
4,15,0.0008,0.0319,0.1785,0.1189,0.1314
4,16,0.0009,0.0330,0.1815,0.1070,0.1203
4,17,0.0008,0.0314,0.1773,0.1214,0.1342
4,18,0.0006,0.0319,0.1786,0.1188,0.1308
4,19,0.0006,0.0318,0.1783,0.1161,0.1312
4,20,0.0006,0.0320,0.1789,0.1154,0.1282
5,1,0.0321,0.0276,0.1662,0.1971,0.2007
5,2,0.0298,0.0271,0.1646,0.1872,0.1879
5,3,0.0287,0.0268,0.1637,0.2281,0.2135
5,4,0.0275,0.0273,0.1651,0.1820,0.1781
5,5,0.0209,0.0378,0.1943,0.1395,0.1369
5,6,0.0094,0.0319,0.1787,0.1233,0.1209
5,7,0.0064,0.0334,0.1827,0.1087,0.1011
5,8,0.0037,0.0309,0.1759,0.1205,0.1096
5,9,0.0021,0.0310,0.1762,0.1093,0.0989
5,10,0.0017,0.0303,0.1741,0.1023,0.0969
5,11,0.0017,0.0307,0.1752,0.1131,0.1055
5,12,0.0016,0.0306,0.1749,0.1088,0.1006
5,13,0.0012,0.0302,0.1738,0.1145,0.1068
5,14,0.0011,0.0306,0.1750,0.1191,0.1103
5,15,0.0012,0.0306,0.1750,0.1048,0.0983
5,16,0.0011,0.0307,0.1751,0.1158,0.1060
5,17,0.0010,0.0306,0.1750,0.1107,0.1007
5,18,0.0009,0.0307,0.1753,0.1106,0.1015
5,19,0.0009,0.0310,0.1760,0.1146,0.1056
5,20,0.0009,0.0304,0.1744,0.1161,0.1079
