Fold,Epoch,Train_MSE,Validation_MSE,Validation_RMSE,Validation_PCC,Validation_SCC
1,1,1.3843,1.7773,1.3332,0.5444,0.5871
1,2,0.9338,1.7695,1.3302,0.5588,0.5878
1,3,0.7858,1.6804,1.2963,0.5696,0.5920
1,4,0.7088,1.7946,1.3396,0.5497,0.5783
1,5,0.6576,1.7277,1.3144,0.5549,0.5893
1,6,0.6181,1.6619,1.2892,0.5790,0.6075
1,7,0.5879,1.6498,1.2844,0.5723,0.6077
1,8,0.5647,1.6945,1.3017,0.5796,0.6125
1,9,0.5419,1.8564,1.3625,0.5595,0.5959
1,10,0.5297,1.8064,1.3440,0.5733,0.6096
1,11,0.5151,1.7205,1.3117,0.5586,0.5961
1,12,0.5024,1.7613,1.3271,0.5548,0.5975
1,13,0.4901,1.8091,1.3450,0.5398,0.6002
1,14,0.4674,1.7020,1.3046,0.5611,0.5978
1,15,0.4671,1.8115,1.3459,0.5420,0.5956
1,16,0.4659,1.7714,1.3310,0.5538,0.5936
1,17,0.4591,1.8625,1.3647,0.5344,0.5884
1,18,0.4493,1.7854,1.3362,0.5444,0.5874
1,19,0.4394,1.8023,1.3425,0.5504,0.5979
1,20,0.4286,1.7420,1.3198,0.5495,0.6038
2,1,1.4035,1.7908,1.3382,0.4327,0.3633
2,2,0.9408,1.7999,1.3416,0.4377,0.3706
2,3,0.7890,1.7405,1.3193,0.4612,0.3809
2,4,0.7097,1.7364,1.3177,0.4584,0.3805
2,5,0.6492,1.7688,1.3300,0.4506,0.3883
2,6,0.6199,1.8074,1.3444,0.4436,0.3720
2,7,0.5858,1.7516,1.3235,0.4591,0.3830
2,8,0.5611,1.7466,1.3216,0.4573,0.3724
2,9,0.5460,1.8059,1.3438,0.4572,0.3909
2,10,0.5307,1.7400,1.3191,0.4614,0.3913
2,11,0.5179,1.7767,1.3329,0.4602,0.3893
2,12,0.5067,1.7832,1.3354,0.4482,0.3800
2,13,0.4877,1.7682,1.3297,0.4542,0.3767
2,14,0.4792,1.7528,1.3239,0.4592,0.3792
2,15,0.4706,1.7590,1.3263,0.4536,0.3754
2,16,0.4626,1.8233,1.3503,0.4401,0.3621
2,17,0.4597,1.7611,1.3270,0.4580,0.3682
2,18,0.4443,1.7480,1.3221,0.4566,0.3843
2,19,0.4409,1.7467,1.3216,0.4640,0.3876
2,20,0.4342,1.7776,1.3333,0.4568,0.3735
3,1,1.4172,1.6156,1.2711,0.4600,0.3888
3,2,0.9404,1.6107,1.2691,0.4616,0.3701
3,3,0.7912,1.6620,1.2892,0.4556,0.3630
3,4,0.7257,1.6395,1.2804,0.4651,0.3610
3,5,0.6695,1.8613,1.3643,0.4456,0.3565
3,6,0.6380,1.7184,1.3109,0.4438,0.3398
3,7,0.6040,1.7879,1.3371,0.4305,0.3356
3,8,0.5799,1.7275,1.3144,0.4203,0.3310
3,9,0.5620,1.6379,1.2798,0.4690,0.3700
3,10,0.5540,1.7053,1.3059,0.4422,0.3508
3,11,0.5352,1.7818,1.3348,0.4524,0.3621
3,12,0.5087,1.7663,1.3290,0.4381,0.3472
3,13,0.5107,1.7174,1.3105,0.4491,0.3531
3,14,0.5068,1.7813,1.3347,0.4334,0.3503
3,15,0.4924,1.7681,1.3297,0.4282,0.3353
3,16,0.4896,1.8752,1.3694,0.4305,0.3430
3,17,0.4769,1.7360,1.3176,0.4372,0.3502
3,18,0.4722,1.9245,1.3873,0.4286,0.3458
3,19,0.4607,1.7845,1.3358,0.4022,0.3381
3,20,0.4574,1.9696,1.4034,0.3957,0.3122
4,1,1.3585,2.7873,1.6695,0.2918,0.3463
4,2,0.9121,2.5504,1.5970,0.3247,0.3719
4,3,0.7777,2.7877,1.6696,0.2962,0.3615
4,4,0.7000,2.7342,1.6536,0.2934,0.3512
4,5,0.6420,2.6946,1.6415,0.2936,0.3320
4,6,0.6032,2.5914,1.6098,0.3232,0.3668
4,7,0.5861,2.7631,1.6623,0.2756,0.3184
4,8,0.5555,2.6666,1.6330,0.3152,0.3588
4,9,0.5382,2.6329,1.6226,0.3046,0.3537
4,10,0.5174,2.7020,1.6438,0.2956,0.3525
4,11,0.5061,2.7068,1.6452,0.2940,0.3326
4,12,0.4933,2.7018,1.6437,0.2988,0.3317
4,13,0.4804,2.7061,1.6450,0.3096,0.3493
4,14,0.4722,2.7810,1.6676,0.3020,0.3263
4,15,0.4605,2.6859,1.6389,0.2922,0.3453
4,16,0.4575,2.8442,1.6865,0.2955,0.3174
4,17,0.4467,2.8590,1.6908,0.2822,0.3353
4,18,0.4367,2.8483,1.6877,0.2882,0.3337
4,19,0.4301,2.6376,1.6241,0.3300,0.3752
4,20,0.4314,2.7103,1.6463,0.3034,0.3328
5,1,1.4408,1.8158,1.3475,0.4851,0.4844
5,2,0.9696,1.8409,1.3568,0.5102,0.5035
5,3,0.8288,1.7904,1.3380,0.5085,0.5239
5,4,0.7416,1.7711,1.3308,0.5168,0.4973
5,5,0.6799,1.7671,1.3293,0.5286,0.5159
5,6,0.6388,1.7747,1.3322,0.5262,0.5163
5,7,0.6109,1.9053,1.3803,0.5287,0.5335
5,8,0.5829,1.7937,1.3393,0.5357,0.5387
5,9,0.5653,1.8600,1.3638,0.5295,0.5427
5,10,0.5477,1.7662,1.3290,0.5204,0.5196
5,11,0.5354,1.6799,1.2961,0.5436,0.5424
5,12,0.5209,1.8140,1.3469,0.5184,0.5446
5,13,0.5077,1.7114,1.3082,0.5419,0.5394
5,14,0.4942,1.8617,1.3644,0.5211,0.5223
5,15,0.4828,1.7886,1.3374,0.5245,0.5173
5,16,0.4843,1.8084,1.3448,0.5241,0.5124
5,17,0.4689,1.7260,1.3138,0.5457,0.5429
5,18,0.4696,1.7295,1.3151,0.5345,0.5142
5,19,0.4606,1.7024,1.3048,0.5489,0.5581
5,20,0.4552,1.8225,1.3500,0.5335,0.5374
6,1,1.3922,2.1810,1.4768,0.4101,0.4431
6,2,0.9396,2.0529,1.4328,0.4632,0.4858
6,3,0.8003,2.1005,1.4493,0.4404,0.4689
6,4,0.7183,2.1126,1.4535,0.4454,0.4911
6,5,0.6676,2.0725,1.4396,0.4589,0.5042
6,6,0.6293,2.1054,1.4510,0.4382,0.4852
6,7,0.6025,2.0475,1.4309,0.4658,0.5022
6,8,0.5841,2.1414,1.4633,0.4419,0.4768
6,9,0.5578,2.0782,1.4416,0.4518,0.4771
6,10,0.5398,2.1627,1.4706,0.4475,0.4794
6,11,0.5304,2.0611,1.4357,0.4600,0.4946
6,12,0.5078,2.1128,1.4535,0.4420,0.4733
6,13,0.5022,2.1211,1.4564,0.4327,0.4717
6,14,0.4934,2.1614,1.4702,0.4437,0.4763
6,15,0.4898,2.0990,1.4488,0.4437,0.4800
6,16,0.4690,2.1094,1.4524,0.4443,0.4815
6,17,0.4701,2.1619,1.4703,0.4203,0.4663
6,18,0.4606,2.0945,1.4472,0.4447,0.4777
6,19,0.4534,2.1271,1.4585,0.4305,0.4749
6,20,0.4518,2.1660,1.4717,0.4172,0.4752
7,1,1.3817,1.9234,1.3869,0.3607,0.3346
7,2,0.9552,2.0477,1.4310,0.3587,0.3321
7,3,0.8359,1.8974,1.3775,0.3813,0.3450
7,4,0.7829,1.8681,1.3668,0.3998,0.3824
7,5,0.7293,1.8909,1.3751,0.3924,0.3402
7,6,0.6787,1.8399,1.3564,0.3995,0.3739
7,7,0.6434,1.9242,1.3871,0.3620,0.2937
7,8,0.6050,1.8922,1.3756,0.3738,0.3372
7,9,0.5868,1.8686,1.3670,0.3891,0.3672
7,10,0.5599,1.8772,1.3701,0.3830,0.3406
7,11,0.5429,1.9007,1.3787,0.3754,0.3441
7,12,0.5345,2.0205,1.4214,0.3535,0.2882
7,13,0.5159,1.8797,1.3710,0.4037,0.3815
7,14,0.5063,2.0303,1.4249,0.3537,0.3194
7,15,0.4916,1.8977,1.3776,0.3888,0.3691
7,16,0.4830,1.8973,1.3774,0.3784,0.3673
7,17,0.4766,2.0520,1.4325,0.3596,0.3308
7,18,0.4680,2.0416,1.4288,0.3510,0.3467
7,19,0.4625,1.9204,1.3858,0.3766,0.3577
7,20,0.4546,1.9772,1.4061,0.3524,0.3093
8,1,1.3886,1.8542,1.3617,0.4610,0.4617
8,2,0.9453,1.8535,1.3614,0.4618,0.4542
8,3,0.8021,1.8444,1.3581,0.4730,0.4482
8,4,0.7179,1.8188,1.3486,0.4828,0.4711
8,5,0.6695,1.8401,1.3565,0.4697,0.4582
8,6,0.6298,1.8073,1.3443,0.4948,0.4952
8,7,0.5994,1.8947,1.3765,0.4667,0.4563
8,8,0.5762,1.8976,1.3776,0.4700,0.4633
8,9,0.5574,1.8127,1.3464,0.4886,0.4757
8,10,0.5392,1.7937,1.3393,0.5004,0.4818
8,11,0.5240,1.8628,1.3649,0.4805,0.4757
8,12,0.5156,1.9034,1.3797,0.4776,0.4709
8,13,0.5051,1.8371,1.3554,0.4772,0.4684
8,14,0.4963,1.8392,1.3562,0.4736,0.4659
8,15,0.4789,1.8368,1.3553,0.4810,0.4671
8,16,0.4715,1.8035,1.3429,0.4880,0.4879
8,17,0.4686,1.8118,1.3460,0.4893,0.4816
8,18,0.4585,1.8874,1.3738,0.4735,0.4548
8,19,0.4514,1.8596,1.3637,0.4682,0.4592
8,20,0.4427,1.8583,1.3632,0.4859,0.4763
9,1,1.3912,1.7332,1.3165,0.4147,0.4109
9,2,0.9416,1.6571,1.2873,0.4446,0.4171
9,3,0.8119,1.6446,1.2824,0.4492,0.4299
9,4,0.7280,1.6413,1.2811,0.4482,0.4153
9,5,0.6761,1.6530,1.2857,0.4547,0.4277
9,6,0.6355,1.7135,1.3090,0.4240,0.4402
9,7,0.6044,1.6670,1.2911,0.4454,0.4347
9,8,0.5821,1.6189,1.2723,0.4568,0.4288
9,9,0.5556,1.6060,1.2673,0.4713,0.4450
9,10,0.5443,1.6139,1.2704,0.4639,0.4301
9,11,0.5258,1.5871,1.2598,0.4799,0.4473
9,12,0.5137,1.6323,1.2776,0.4528,0.4293
9,13,0.5054,1.6582,1.2877,0.4596,0.4211
9,14,0.4939,1.6136,1.2703,0.4610,0.4327
9,15,0.4794,1.5949,1.2629,0.4764,0.4346
9,16,0.4713,1.6092,1.2685,0.4675,0.4274
9,17,0.4661,1.6552,1.2865,0.4525,0.4202
9,18,0.4621,1.6592,1.2881,0.4512,0.4192
9,19,0.4558,1.6295,1.2765,0.4592,0.4285
9,20,0.4480,1.6689,1.2918,0.4548,0.4228
10,1,1.4219,1.8833,1.3723,0.3823,0.3972
10,2,0.9802,1.7835,1.3355,0.4396,0.4038
10,3,0.8444,1.8035,1.3429,0.4233,0.4241
10,4,0.7588,1.7673,1.3294,0.4415,0.4274
10,5,0.7053,1.7643,1.3283,0.4404,0.4408
10,6,0.6579,1.7272,1.3142,0.4683,0.4565
10,7,0.6207,1.7678,1.3296,0.4460,0.4397
10,8,0.5991,1.7906,1.3381,0.4338,0.4301
10,9,0.5770,1.7967,1.3404,0.4315,0.4261
10,10,0.5582,1.7400,1.3191,0.4569,0.4440
10,11,0.5535,1.7572,1.3256,0.4357,0.4388
10,12,0.5397,1.8515,1.3607,0.4330,0.4347
10,13,0.5303,1.8136,1.3467,0.4495,0.4461
10,14,0.5162,1.7937,1.3393,0.4476,0.4578
10,15,0.5127,1.8246,1.3508,0.4603,0.4691
10,16,0.5003,1.8384,1.3559,0.4173,0.4312
10,17,0.4957,1.8680,1.3667,0.4469,0.4725
10,18,0.4814,1.8108,1.3457,0.4331,0.4422
10,19,0.4818,1.8250,1.3509,0.4435,0.4527
10,20,0.4757,1.7604,1.3268,0.4411,0.4557
---,---,---,---,---,---,---
Overall Metrics,RMSE,PCC,SCC,,,
(pool and calculate),1.3499,0.4716,0.4669,,,
